,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.12,20.92,20.93,20.81,20.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.42,21.42,21.4,21.1,20.4,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.62,21.5,21.49,21.39,21.19,20.89,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,21.58,21.59,21.58,21.48,21.17,20.48,,,20.4,20.76,20.37,20.37,,,,,,,,,,20.39,20.39,,,20.53,20.55,20.86,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.66,21.64,21.55,21.54,21.44,21.23,20.93,20.33,20.27,20.64,21.05,21.25,21.06,20.76,20.35,20.36,20.36,20.37,20.38,,,20.69,21.19,21.09,20.91,20.52,20.82,21.44,21.36,20.69,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.65,21.63,21.61,21.53,21.52,21.42,21.32,21.22,21.12,21.12,21.19,21.33,21.43,21.44,21.35,21.24,21.25,21.16,21.07,20.48,20.39,20.39,21.3,21.6,21.62,21.52,21.51,21.52,21.73,21.66,21.5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,21.59,21.58,21.46,21.5,21.39,21.4,21.4,21.3,21.31,21.37,21.47,21.47,21.52,21.53,21.53,21.55,21.56,21.47,21.29,21.1,21.31,21.51,21.75,21.85,21.84,21.84,21.85,21.96,21.9,21.83,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.54,21.54,21.54,21.53,21.43,21.46,21.47,21.47,21.38,21.38,21.49,21.45,21.56,21.56,21.56,21.71,21.72,21.74,21.66,21.68,21.6,21.61,21.62,21.74,21.88,21.98,21.98,21.99,22.1,22.12,22.06,22.08,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.45,21.48,21.49,21.39,21.39,21.39,21.43,21.43,21.44,21.45,21.46,21.52,21.43,21.53,21.64,21.65,21.66,21.71,21.74,21.76,21.78,21.81,21.83,21.85,21.9,22.01,22.12,22.13,22.15,22.26,22.29,22.22,22.24,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,21.42,21.44,21.34,21.35,21.38,21.39,21.4,21.41,21.42,21.49,21.5,21.51,21.62,21.63,21.74,21.76,21.72,21.74,21.86,21.89,21.92,21.95,21.98,22.03,22.05,22.16,22.28,22.31,22.33,22.35,22.38,22.4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.42,21.35,21.38,21.39,21.3,21.3,21.34,21.25,21.36,21.38,21.39,21.46,21.47,21.48,21.6,21.72,21.64,21.76,21.78,21.84,21.87,21.91,21.94,21.97,22.0,22.07,22.09,22.21,22.43,22.46,22.38,22.41,22.44,22.45,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.29,21.22,21.24,21.25,21.26,21.26,21.3,21.31,21.32,21.3,21.41,21.43,21.44,21.46,21.59,21.61,21.74,21.76,21.79,21.81,21.88,21.92,21.96,22.09,22.13,22.2,22.22,22.35,22.47,22.5,22.53,22.45,22.49,22.59,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.28,21.2,21.21,21.22,21.22,21.24,21.25,21.16,21.14,21.26,21.28,21.4,21.43,21.45,21.58,21.61,21.64,21.67,21.8,21.83,21.89,21.94,21.98,22.12,22.26,22.33,22.36,22.48,22.51,22.54,22.46,22.39,22.52,22.53,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.26,21.27,21.18,21.18,21.17,21.1,21.08,21.08,21.1,21.13,21.26,21.29,21.32,21.35,21.48,21.51,21.75,21.78,21.92,21.97,22.04,22.07,22.11,22.15,22.29,22.35,22.48,22.51,22.54,22.46,22.49,22.52,22.55,22.54,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.29,21.19,21.15,21.17,21.04,21.03,20.95,21.09,21.22,21.26,21.29,21.22,21.36,21.49,21.63,21.79,21.82,21.85,21.89,21.96,22.1,22.12,22.16,22.3,22.38,22.51,22.53,22.46,22.48,22.51,22.43,22.53,22.45,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.26,21.16,21.09,21.17,21.06,20.95,20.96,21.09,21.13,21.16,21.2,21.34,21.47,21.63,21.66,21.6,21.73,21.76,21.8,21.97,22.12,22.16,22.2,22.32,22.36,22.52,22.45,22.37,22.39,22.42,22.34,22.43,22.54,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.22,21.12,21.11,21.1,21.0,21.11,21.13,21.06,21.09,21.22,21.46,21.51,21.55,21.58,21.61,21.65,21.68,21.81,21.98,22.13,22.07,22.11,22.25,22.39,22.53,22.46,22.38,22.3,22.32,22.34,22.42,22.43,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.26,21.16,21.15,21.15,21.05,21.06,21.07,21.1,21.22,21.35,21.5,21.53,21.56,21.6,21.63,21.67,21.7,21.84,22.1,22.04,21.99,22.13,22.27,22.4,22.53,22.39,22.41,22.33,22.32,22.33,22.31,22.44,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,21.2,21.19,21.09,20.99,21.1,21.12,21.23,21.26,21.4,21.42,21.45,21.49,21.62,21.66,21.69,21.82,21.96,22.02,21.97,22.0,22.15,22.28,22.41,22.44,22.47,22.42,22.33,22.24,22.23,22.33,22.43,,,,,,,,
,20.5,20.25,20.29,20.34,20.48,20.51,20.65,20.68,20.81,20.84,20.77,20.79,20.82,20.84,20.96,20.98,20.98,21.07,21.06,20.86,20.87,20.86,20.85,20.85,20.94,20.93,20.93,20.93,20.92,20.93,20.95,20.95,20.95,21.16,20.96,20.97,20.98,20.99,21.0,21.01,21.02,21.13,21.34,21.44,21.34,21.24,21.24,21.14,21.04,21.04,21.16,21.17,21.31,21.33,21.35,21.38,21.51,21.64,21.68,21.71,21.84,21.91,21.95,21.99,22.03,22.16,22.3,22.42,22.45,22.47,22.49,22.43,22.24,22.13,22.22,22.32,,,,,,,,
,20.5,20.24,20.19,20.33,20.37,20.4,20.54,20.57,20.6,20.72,20.75,20.67,20.7,20.72,20.86,20.87,20.88,20.98,20.88,20.98,20.88,20.78,20.88,20.78,20.88,20.88,20.87,20.87,20.97,20.98,20.9,20.9,21.1,21.1,21.01,21.02,20.93,20.94,21.05,21.07,21.08,21.19,21.39,21.39,21.39,21.28,21.28,21.18,21.08,21.08,21.09,21.22,21.23,21.35,21.37,21.5,21.53,21.67,21.7,21.84,21.77,21.84,21.88,22.01,22.05,22.08,22.31,22.44,22.26,22.38,22.49,22.49,22.42,22.22,22.11,22.2,,,,,,,,
,20.38,20.34,20.28,20.22,20.26,20.29,20.42,20.45,20.58,20.61,20.64,20.66,20.68,20.7,20.74,20.76,20.77,20.88,20.78,20.78,20.89,20.8,20.8,20.81,20.81,20.81,20.91,20.81,20.92,20.94,20.94,21.04,21.14,20.94,21.05,21.06,20.98,20.99,21.1,21.11,21.13,21.24,21.44,21.44,21.33,21.23,21.22,21.12,21.12,21.12,21.12,21.15,21.26,21.37,21.4,21.52,21.46,21.59,21.62,21.66,21.72,21.86,21.9,21.94,22.08,22.2,22.32,22.35,22.26,22.27,22.38,22.38,22.47,22.27,22.2,22.18,,,,,,,,
20.26,20.39,20.43,20.36,20.32,20.36,20.39,20.52,20.55,20.58,20.7,20.62,20.54,20.46,20.6,20.62,20.74,20.75,20.76,20.76,20.67,20.78,20.8,20.81,20.72,20.83,20.84,20.84,20.85,20.85,20.86,20.96,21.06,20.97,20.88,20.99,21.0,21.01,21.03,21.15,21.16,21.27,21.38,21.49,21.48,21.48,21.37,21.36,21.26,21.25,21.15,21.05,21.07,21.17,21.29,21.41,21.44,21.38,21.51,21.55,21.6,21.64,21.78,21.92,21.96,22.2,22.23,22.24,22.26,22.27,22.27,22.28,22.26,22.35,22.44,22.13,22.11,,,,,,,,
,20.28,20.31,20.46,20.39,20.45,20.48,20.51,20.54,20.56,20.68,20.5,20.53,20.44,20.48,20.59,20.61,20.62,20.63,20.65,20.66,20.67,20.69,20.7,20.71,20.73,20.74,20.76,20.77,20.77,20.88,20.98,20.98,20.89,20.9,21.01,21.12,21.04,21.06,21.09,21.11,21.22,21.53,21.53,21.43,21.41,21.3,21.3,21.29,21.18,21.08,21.08,21.19,21.29,21.3,21.23,21.26,21.39,21.43,21.58,21.72,21.76,21.9,21.94,22.09,22.23,22.15,22.26,22.17,22.07,22.16,22.16,22.14,22.23,22.31,22.1,21.98,,,,,,,,
20.16,20.28,20.31,20.34,20.37,20.4,20.46,20.49,20.51,20.54,20.47,20.39,20.41,20.42,20.46,20.47,20.49,20.5,20.61,20.52,20.53,20.55,20.66,20.68,20.59,20.7,20.72,20.73,20.75,20.76,20.88,20.98,20.89,20.89,20.91,20.92,21.04,21.06,20.98,21.11,21.14,21.36,21.58,21.48,21.46,21.34,21.33,21.22,21.21,21.11,21.1,21.2,21.2,21.2,21.21,21.24,21.38,21.51,21.66,21.8,21.83,21.87,21.91,21.95,22.0,22.05,22.06,22.06,22.17,22.06,22.06,22.13,22.03,22.11,22.19,22.06,,,,,,,,,
,,20.21,20.34,20.37,20.4,20.35,20.38,20.31,20.33,20.35,20.37,20.49,20.5,20.42,20.55,20.46,20.37,20.48,20.49,20.51,20.42,20.53,20.64,20.55,20.57,20.58,20.59,20.71,20.83,20.85,20.86,20.77,20.79,20.9,20.92,20.94,20.96,20.99,20.92,21.15,21.48,21.5,21.51,21.28,21.36,21.35,21.24,21.13,21.02,21.12,21.12,21.12,21.02,21.13,21.27,21.51,21.54,21.57,21.6,21.74,21.77,21.91,21.75,21.9,22.03,22.05,22.06,22.06,21.95,22.04,22.02,22.0,22.08,22.15,22.02,,,,,,,,,
,,20.22,20.24,20.27,20.3,20.22,20.27,20.3,20.32,20.44,20.46,20.47,20.49,20.4,20.53,20.43,20.34,20.35,20.26,20.37,20.38,20.39,20.5,20.41,20.52,20.54,20.55,20.57,20.69,20.72,20.84,20.75,20.77,20.79,20.81,20.93,20.96,20.89,21.01,21.24,21.47,21.49,21.4,21.19,21.28,21.27,21.26,21.14,21.03,21.13,21.03,21.05,21.05,21.26,21.39,21.52,21.45,21.38,21.51,21.64,21.67,21.81,21.65,21.78,21.92,22.03,21.94,21.94,21.83,21.92,21.9,21.97,22.05,22.02,21.89,,,,,,,,,
,,20.13,20.15,20.18,20.2,20.23,20.38,20.4,20.42,20.43,20.44,20.45,20.46,20.47,20.5,20.5,20.41,20.31,20.22,20.13,20.24,20.25,20.36,20.36,20.38,20.39,20.5,20.52,20.54,20.58,20.7,20.72,20.64,20.66,20.69,20.81,20.84,20.97,21.1,21.43,21.45,21.37,21.28,21.18,21.08,21.07,21.17,21.06,21.06,21.06,21.06,21.17,21.27,21.28,21.4,21.42,21.35,21.38,21.51,21.64,21.57,21.81,21.64,21.77,21.8,21.91,21.92,21.83,21.81,21.9,21.78,21.75,22.02,21.98,21.75,,,,,,,,,
,,20.04,20.16,19.99,20.11,20.14,20.18,20.3,20.31,20.22,20.33,20.33,20.24,20.34,20.35,20.47,20.37,20.27,20.18,20.18,20.19,20.2,20.18,20.19,20.3,20.31,20.43,20.45,20.36,20.51,20.53,20.55,20.56,20.63,20.66,20.78,20.91,21.04,21.27,21.3,21.23,21.15,21.16,21.17,21.07,20.97,20.97,20.97,20.97,21.06,21.17,21.28,21.39,21.4,21.41,21.43,21.26,21.28,21.41,21.54,21.57,21.7,21.53,21.66,21.68,21.8,21.8,21.72,21.71,21.79,21.76,21.82,21.89,21.85,21.72,,,,,,,,,
,,,20.08,20.0,19.93,19.95,19.97,20.1,20.11,20.11,20.11,20.21,20.21,20.11,20.21,20.34,20.33,20.34,20.24,20.14,20.22,20.12,20.13,20.14,20.16,20.27,20.29,20.4,20.42,20.35,20.39,20.41,20.53,20.56,20.58,20.75,20.98,21.22,21.15,21.08,21.1,21.13,21.04,21.06,21.06,20.97,20.97,20.97,21.07,21.17,21.18,21.28,21.3,21.21,21.32,21.34,21.26,21.39,21.32,21.34,21.47,21.6,21.52,21.55,21.67,21.68,21.71,21.71,21.59,21.67,21.64,21.71,21.87,21.83,21.59,,,,,,,,,
,,,19.99,20.02,19.84,19.86,19.88,19.91,20.01,20.01,20.01,20.09,20.09,20.08,20.08,20.17,20.2,20.19,20.27,20.27,20.17,20.08,20.09,20.0,20.11,20.12,20.14,20.26,20.28,20.3,20.35,20.37,20.4,20.52,20.65,20.77,21.05,21.08,21.01,20.95,20.98,21.0,20.93,20.94,20.85,20.86,20.97,21.07,21.18,21.18,21.09,21.19,21.12,21.13,21.34,21.25,21.17,21.3,21.32,21.25,21.47,21.5,21.52,21.44,21.56,21.58,21.6,21.5,21.58,21.56,21.73,21.7,21.76,21.72,21.54,,,,,,,,,
,,,20.01,20.03,19.96,19.88,19.8,19.81,19.81,19.9,19.79,19.88,19.94,19.94,19.92,20.01,19.91,19.91,20.03,20.13,20.03,20.03,20.04,20.05,19.96,19.97,20.09,20.11,20.13,20.15,20.28,20.44,20.46,20.59,20.72,20.85,20.97,21.04,20.88,20.92,20.95,20.88,20.71,20.83,20.84,20.96,21.07,21.08,21.08,21.09,21.09,21.1,21.01,21.03,21.25,21.16,21.08,21.2,21.23,21.25,21.47,21.4,21.42,21.44,21.46,21.49,21.49,21.49,21.48,21.66,21.63,21.49,21.55,21.61,21.44,,,,,,,,,
,,,,19.94,19.77,19.9,19.81,19.72,19.69,19.77,19.76,19.74,19.72,19.81,19.8,19.89,19.86,19.76,19.76,19.97,19.87,19.89,19.9,20.01,19.92,19.92,19.94,20.06,20.08,20.1,20.33,20.37,20.43,20.46,20.69,20.81,20.84,20.77,20.85,20.79,20.83,20.86,20.8,20.72,20.84,20.95,21.07,21.18,20.99,21.09,21.1,21.01,21.01,21.03,21.26,21.08,21.19,21.31,21.24,21.26,21.38,21.3,21.32,21.34,21.38,21.49,21.39,21.49,21.58,21.66,21.53,21.49,21.66,21.62,21.4,,,,,,,,,
,,,,19.95,19.78,19.81,19.82,19.8,19.68,19.76,19.84,19.72,19.6,19.59,19.67,19.74,19.74,19.63,19.72,19.81,19.93,19.83,19.74,19.75,19.77,19.87,19.89,19.91,19.93,20.06,20.19,20.32,20.46,20.62,20.65,20.78,20.72,20.55,20.68,20.57,20.61,20.75,20.69,20.61,20.84,20.85,20.97,20.98,20.99,21.0,20.91,20.91,20.92,21.13,21.15,21.09,21.21,21.23,21.24,21.27,21.39,21.31,21.23,21.27,21.38,21.4,21.3,21.4,21.49,21.47,21.44,21.61,21.55,21.4,21.3,,,,,,,,,
